,class_ids,classes,logistic,logits,probabilities
85,[0],[b'0'],[0.],[-30695.902],[1. 0.]
86,[0],[b'0'],[0.],[-32922.758],[1. 0.]
87,[0],[b'0'],[0.],[-31701.137],[1. 0.]
88,[0],[b'0'],[0.],[-35160.066],[1. 0.]
89,[0],[b'0'],[0.],[-32436.232],[1. 0.]
90,[0],[b'0'],[0.],[-32104.719],[1. 0.]
91,[1],[b'1'],[1.],[6300.361],[0. 1.]
92,[0],[b'0'],[0.],[-29863.885],[1. 0.]
93,[0],[b'0'],[0.],[-28878.926],[1. 0.]
94,[0],[b'0'],[0.],[-30397.977],[1. 0.]
95,[0],[b'0'],[0.],[-29260.402],[1. 0.]
96,[0],[b'0'],[0.],[-31407.809],[1. 0.]
97,[0],[b'0'],[0.],[-31388.809],[1. 0.]
98,[0],[b'0'],[0.],[-32869.04],[1. 0.]
99,[0],[b'0'],[0.],[-30925.64],[1. 0.]
100,[0],[b'0'],[0.],[-36292.31],[1. 0.]
101,[0],[b'0'],[0.],[-31369.277],[1. 0.]
102,[0],[b'0'],[0.],[-32892.65],[1. 0.]
103,[0],[b'0'],[0.],[-29328.727],[1. 0.]
104,[0],[b'0'],[0.],[-30785.434],[1. 0.]
105,[0],[b'0'],[0.],[-32093.18],[1. 0.]
106,[0],[b'0'],[0.],[-33588.53],[1. 0.]
107,[0],[b'0'],[0.],[-31589.922],[1. 0.]
108,[1],[b'1'],[1.],[4350.56],[0. 1.]
109,[0],[b'0'],[0.],[-31721.5],[1. 0.]
110,[0],[b'0'],[0.],[-32469.121],[1. 0.]
111,[0],[b'0'],[0.],[-32548.03],[1. 0.]
112,[0],[b'0'],[0.],[-31338.326],[1. 0.]
113,[0],[b'0'],[0.],[-31443.84],[1. 0.]
114,[0],[b'0'],[0.],[-31706.979],[1. 0.]
115,[0],[b'0'],[0.],[-34400.973],[1. 0.]
116,[0],[b'0'],[0.],[-29805.645],[1. 0.]
117,[1],[b'1'],[1.],[8367.133],[0. 1.]
118,[0],[b'0'],[0.],[-33062.938],[1. 0.]
119,[0],[b'0'],[0.],[-34375.78],[1. 0.]
120,[0],[b'0'],[0.],[-30299.705],[1. 0.]
121,[0],[b'0'],[0.],[-33149.336],[1. 0.]
122,[0],[b'0'],[0.],[-31632.29],[1. 0.]
123,[0],[b'0'],[0.],[-31225.361],[1. 0.]
124,[0],[b'0'],[0.],[-30737.408],[1. 0.]
125,[0],[b'0'],[0.],[-29535.365],[1. 0.]
126,[0],[b'0'],[0.],[-30084.064],[1. 0.]
127,[0],[b'0'],[0.],[-32092.229],[1. 0.]
128,[0],[b'0'],[0.],[-32539.004],[1. 0.]
129,[0],[b'0'],[0.],[-33253.258],[1. 0.]
130,[0],[b'0'],[0.],[-32236.41],[1. 0.]
131,[0],[b'0'],[0.],[-30223.404],[1. 0.]
132,[0],[b'0'],[0.],[-30845.223],[1. 0.]
133,[0],[b'0'],[0.],[-33336.71],[1. 0.]
134,[0],[b'0'],[0.],[-31447.562],[1. 0.]
135,[0],[b'0'],[0.],[-34631.406],[1. 0.]
136,[0],[b'0'],[0.],[-31017.008],[1. 0.]
137,[0],[b'0'],[0.],[-32266.605],[1. 0.]
138,[0],[b'0'],[0.],[-32781.664],[1. 0.]
139,[0],[b'0'],[0.],[-31681.129],[1. 0.]
140,[0],[b'0'],[0.],[-31739.545],[1. 0.]
141,[0],[b'0'],[0.],[-33255.14],[1. 0.]
142,[0],[b'0'],[0.],[-29295.31],[1. 0.]
143,[0],[b'0'],[0.],[-31774.344],[1. 0.]
144,[0],[b'0'],[0.],[-32448.78],[1. 0.]
145,[0],[b'0'],[0.],[-32682.342],[1. 0.]
146,[0],[b'0'],[0.],[-34115.617],[1. 0.]
147,[0],[b'0'],[0.],[-31303.441],[1. 0.]
148,[0],[b'0'],[0.],[-33774.406],[1. 0.]
149,[0],[b'0'],[0.],[-33046.285],[1. 0.]
150,[0],[b'0'],[0.],[-30453.78],[1. 0.]
151,[0],[b'0'],[0.],[-31083.154],[1. 0.]
152,[0],[b'0'],[0.],[-33988.504],[1. 0.]
153,[0],[b'0'],[0.],[-33732.746],[1. 0.]
154,[0],[b'0'],[0.],[-29937.81],[1. 0.]
155,[0],[b'0'],[0.],[-29698.3],[1. 0.]
156,[0],[b'0'],[0.],[-29934.66],[1. 0.]
157,[0],[b'0'],[0.],[-34313.875],[1. 0.]
158,[0],[b'0'],[0.],[-30617.299],[1. 0.]
159,[0],[b'0'],[0.],[-33317.],[1. 0.]
160,[0],[b'0'],[0.],[-32834.61],[1. 0.]
161,[0],[b'0'],[0.],[-29323.23],[1. 0.]
162,[0],[b'0'],[0.],[-30002.89],[1. 0.]
163,[0],[b'0'],[0.],[-38648.734],[1. 0.]
164,[0],[b'0'],[0.],[-30839.74],[1. 0.]
165,[0],[b'0'],[0.],[-32799.414],[1. 0.]
166,[0],[b'0'],[0.],[-32333.861],[1. 0.]
167,[0],[b'0'],[0.],[-32070.861],[1. 0.]
168,[0],[b'0'],[0.],[-29506.91],[1. 0.]
169,[0],[b'0'],[0.],[-32193.049],[1. 0.]
170,[0],[b'0'],[0.],[-32230.977],[1. 0.]
171,[0],[b'0'],[0.],[-31196.344],[1. 0.]
172,[0],[b'0'],[0.],[-31946.123],[1. 0.]
173,[0],[b'0'],[0.],[-34484.875],[1. 0.]
174,[0],[b'0'],[0.],[-32309.068],[1. 0.]
175,[0],[b'0'],[0.],[-30222.066],[1. 0.]
176,[0],[b'0'],[0.],[-32851.08],[1. 0.]
177,[0],[b'0'],[0.],[-35341.64],[1. 0.]
178,[0],[b'0'],[0.],[-33004.543],[1. 0.]
179,[0],[b'0'],[0.],[-31596.719],[1. 0.]
180,[0],[b'0'],[0.],[-36287.324],[1. 0.]
181,[0],[b'0'],[0.],[-30858.182],[1. 0.]
182,[0],[b'0'],[0.],[-26881.809],[1. 0.]
183,[0],[b'0'],[0.],[-32029.873],[1. 0.]
184,[0],[b'0'],[0.],[-33584.33],[1. 0.]
185,[0],[b'0'],[0.],[-30000.596],[1. 0.]
186,[0],[b'0'],[0.],[-32534.553],[1. 0.]
187,[0],[b'0'],[0.],[-32310.459],[1. 0.]
188,[0],[b'0'],[0.],[-33572.645],[1. 0.]
189,[0],[b'0'],[0.],[-34263.85],[1. 0.]
190,[0],[b'0'],[0.],[-31699.92],[1. 0.]
191,[1],[b'1'],[1.],[650.2984],[0. 1.]
192,[0],[b'0'],[0.],[-34773.54],[1. 0.]
193,[0],[b'0'],[0.],[-32848.574],[1. 0.]
194,[0],[b'0'],[0.],[-30910.281],[1. 0.]
195,[0],[b'0'],[0.],[-29874.602],[1. 0.]
196,[0],[b'0'],[0.],[-32589.82],[1. 0.]
197,[0],[b'0'],[0.],[-30553.693],[1. 0.]
198,[0],[b'0'],[0.],[-32573.355],[1. 0.]
199,[1],[b'1'],[1.],[5614.095],[0. 1.]
200,[0],[b'0'],[0.],[-31417.008],[1. 0.]
201,[0],[b'0'],[0.],[-32320.99],[1. 0.]
202,[0],[b'0'],[0.],[-32953.406],[1. 0.]
203,[0],[b'0'],[0.],[-32376.342],[1. 0.]
204,[0],[b'0'],[0.],[-30340.531],[1. 0.]
205,[0],[b'0'],[0.],[-29632.297],[1. 0.]
206,[0],[b'0'],[0.],[-31701.682],[1. 0.]
207,[0],[b'0'],[0.],[-31945.734],[1. 0.]
208,[0],[b'0'],[0.],[-32230.963],[1. 0.]
209,[0],[b'0'],[0.],[-32443.904],[1. 0.]
210,[0],[b'0'],[0.],[-33055.312],[1. 0.]
211,[0],[b'0'],[0.],[-30778.455],[1. 0.]
212,[0],[b'0'],[0.],[-32142.055],[1. 0.]
213,[0],[b'0'],[0.],[-30330.922],[1. 0.]
214,[0],[b'0'],[0.],[-32630.652],[1. 0.]
215,[0],[b'0'],[0.],[-32087.012],[1. 0.]
216,[0],[b'0'],[0.],[-32514.164],[1. 0.]
217,[0],[b'0'],[0.],[-29771.64],[1. 0.]
218,[0],[b'0'],[0.],[-29609.17],[1. 0.]
219,[0],[b'0'],[0.],[-34765.363],[1. 0.]
220,[0],[b'0'],[0.],[-37906.137],[1. 0.]
221,[0],[b'0'],[0.],[-30734.918],[1. 0.]
222,[0],[b'0'],[0.],[-31438.34],[1. 0.]
223,[0],[b'0'],[0.],[-31544.752],[1. 0.]
224,[0],[b'0'],[0.],[-33173.246],[1. 0.]
225,[0],[b'0'],[0.],[-32651.879],[1. 0.]
226,[0],[b'0'],[0.],[-29661.623],[1. 0.]
227,[0],[b'0'],[0.],[-35977.527],[1. 0.]
228,[0],[b'0'],[0.],[-32004.834],[1. 0.]
229,[0],[b'0'],[0.],[-29856.428],[1. 0.]
230,[0],[b'0'],[0.],[-30283.9],[1. 0.]
231,[0],[b'0'],[0.],[-33251.05],[1. 0.]
232,[0],[b'0'],[0.],[-30418.084],[1. 0.]
233,[0],[b'0'],[0.],[-32633.916],[1. 0.]
234,[0],[b'0'],[0.],[-32153.162],[1. 0.]
235,[0],[b'0'],[0.],[-30142.533],[1. 0.]
236,[0],[b'0'],[0.],[-33091.656],[1. 0.]
237,[0],[b'0'],[0.],[-30063.69],[1. 0.]
238,[0],[b'0'],[0.],[-34046.688],[1. 0.]
239,[0],[b'0'],[0.],[-32392.752],[1. 0.]
240,[0],[b'0'],[0.],[-29308.86],[1. 0.]
241,[0],[b'0'],[0.],[-33153.41],[1. 0.]
242,[0],[b'0'],[0.],[-29370.549],[1. 0.]
243,[0],[b'0'],[0.],[-32633.123],[1. 0.]
244,[0],[b'0'],[0.],[-30354.402],[1. 0.]
245,[0],[b'0'],[0.],[-30888.256],[1. 0.]
246,[0],[b'0'],[0.],[-33776.38],[1. 0.]
247,[0],[b'0'],[0.],[-32192.285],[1. 0.]
248,[0],[b'0'],[0.],[-34545.086],[1. 0.]
249,[0],[b'0'],[0.],[-34453.8],[1. 0.]
250,[0],[b'0'],[0.],[-31679.35],[1. 0.]
251,[0],[b'0'],[0.],[-32085.848],[1. 0.]
252,[0],[b'0'],[0.],[-32050.035],[1. 0.]
253,[0],[b'0'],[0.],[-29964.832],[1. 0.]
254,[0],[b'0'],[0.],[-34698.54],[1. 0.]
255,[0],[b'0'],[0.],[-32994.18],[1. 0.]
256,[1],[b'1'],[1.],[5035.72],[0. 1.]
257,[0],[b'0'],[0.],[-31282.078],[1. 0.]
258,[0],[b'0'],[0.],[-31878.848],[1. 0.]
259,[0],[b'0'],[0.],[-38683.574],[1. 0.]
260,[0],[b'0'],[0.],[-33162.805],[1. 0.]
261,[0],[b'0'],[0.],[-31371.312],[1. 0.]
262,[0],[b'0'],[0.],[-31923.445],[1. 0.]
263,[0],[b'0'],[0.],[-32593.693],[1. 0.]
264,[0],[b'0'],[0.],[-32414.52],[1. 0.]
265,[0],[b'0'],[0.],[-27685.223],[1. 0.]
266,[0],[b'0'],[0.],[-29213.273],[1. 0.]
267,[0],[b'0'],[0.],[-30753.236],[1. 0.]
268,[0],[b'0'],[0.],[-32206.041],[1. 0.]
269,[0],[b'0'],[0.],[-29310.064],[1. 0.]
270,[0],[b'0'],[0.],[-30489.357],[1. 0.]
271,[0],[b'0'],[0.],[-30749.982],[1. 0.]
272,[0],[b'0'],[0.],[-30585.79],[1. 0.]
273,[0],[b'0'],[0.],[-31271.693],[1. 0.]
274,[0],[b'0'],[0.],[-32671.512],[1. 0.]
275,[0],[b'0'],[0.],[-33808.72],[1. 0.]
276,[0],[b'0'],[0.],[-30273.246],[1. 0.]
277,[0],[b'0'],[0.],[-31911.504],[1. 0.]
278,[0],[b'0'],[0.],[-31102.45],[1. 0.]
279,[0],[b'0'],[0.],[-30479.334],[1. 0.]
280,[0],[b'0'],[0.],[-30439.697],[1. 0.]
281,[0],[b'0'],[0.],[-29642.44],[1. 0.]
282,[0],[b'0'],[0.],[-29119.043],[1. 0.]
283,[0],[b'0'],[0.],[-30110.287],[1. 0.]
284,[0],[b'0'],[0.],[-32399.27],[1. 0.]
285,[0],[b'0'],[0.],[-33356.254],[1. 0.]
286,[0],[b'0'],[0.],[-33919.92],[1. 0.]
287,[0],[b'0'],[0.],[-32439.867],[1. 0.]
288,[0],[b'0'],[0.],[-32875.656],[1. 0.]
289,[0],[b'0'],[0.],[-32939.51],[1. 0.]
290,[0],[b'0'],[0.],[-29585.246],[1. 0.]
291,[0],[b'0'],[0.],[-31987.418],[1. 0.]
292,[0],[b'0'],[0.],[-36398.03],[1. 0.]
293,[0],[b'0'],[0.],[-31100.459],[1. 0.]
294,[0],[b'0'],[0.],[-32539.037],[1. 0.]
295,[0],[b'0'],[0.],[-30899.508],[1. 0.]
296,[0],[b'0'],[0.],[-32470.963],[1. 0.]
297,[0],[b'0'],[0.],[-32677.367],[1. 0.]
298,[0],[b'0'],[0.],[-30422.387],[1. 0.]
299,[0],[b'0'],[0.],[-31673.049],[1. 0.]
300,[0],[b'0'],[0.],[-30863.295],[1. 0.]
301,[0],[b'0'],[0.],[-32537.713],[1. 0.]
302,[0],[b'0'],[0.],[-32845.43],[1. 0.]
303,[0],[b'0'],[0.],[-29663.754],[1. 0.]
304,[0],[b'0'],[0.],[-32458.188],[1. 0.]
305,[0],[b'0'],[0.],[-30857.814],[1. 0.]
306,[0],[b'0'],[0.],[-31931.479],[1. 0.]
307,[0],[b'0'],[0.],[-33658.45],[1. 0.]
308,[0],[b'0'],[0.],[-32183.092],[1. 0.]
309,[0],[b'0'],[0.],[-32297.812],[1. 0.]
310,[0],[b'0'],[0.],[-31362.385],[1. 0.]
311,[1],[b'1'],[1.],[6395.7046],[0. 1.]
312,[0],[b'0'],[0.],[-32259.926],[1. 0.]
313,[0],[b'0'],[0.],[-31980.547],[1. 0.]
314,[0],[b'0'],[0.],[-32876.043],[1. 0.]
315,[0],[b'0'],[0.],[-32899.39],[1. 0.]
316,[0],[b'0'],[0.],[-31780.928],[1. 0.]
317,[0],[b'0'],[0.],[-31468.564],[1. 0.]
318,[0],[b'0'],[0.],[-31657.76],[1. 0.]
319,[0],[b'0'],[0.],[-29465.725],[1. 0.]
320,[0],[b'0'],[0.],[-31862.729],[1. 0.]
321,[0],[b'0'],[0.],[-30986.104],[1. 0.]
322,[0],[b'0'],[0.],[-30429.951],[1. 0.]
323,[0],[b'0'],[0.],[-32496.945],[1. 0.]
324,[0],[b'0'],[0.],[-31153.361],[1. 0.]
325,[0],[b'0'],[0.],[-33204.883],[1. 0.]
326,[0],[b'0'],[0.],[-31929.277],[1. 0.]
327,[0],[b'0'],[0.],[-33507.145],[1. 0.]
328,[0],[b'0'],[0.],[-28425.066],[1. 0.]
329,[0],[b'0'],[0.],[-29419.357],[1. 0.]
330,[0],[b'0'],[0.],[-31102.145],[1. 0.]
331,[0],[b'0'],[0.],[-31942.146],[1. 0.]
332,[0],[b'0'],[0.],[-29688.293],[1. 0.]
333,[0],[b'0'],[0.],[-29966.77],[1. 0.]
334,[0],[b'0'],[0.],[-33945.375],[1. 0.]
335,[0],[b'0'],[0.],[-32747.963],[1. 0.]
336,[0],[b'0'],[0.],[-29969.396],[1. 0.]
337,[0],[b'0'],[0.],[-30947.16],[1. 0.]
338,[0],[b'0'],[0.],[-32476.463],[1. 0.]
339,[0],[b'0'],[0.],[-29661.932],[1. 0.]
340,[0],[b'0'],[0.],[-32719.342],[1. 0.]
341,[0],[b'0'],[0.],[-30886.275],[1. 0.]
342,[0],[b'0'],[0.],[-33469.97],[1. 0.]
343,[0],[b'0'],[0.],[-35646.344],[1. 0.]
344,[0],[b'0'],[0.],[-31967.18],[1. 0.]
345,[0],[b'0'],[0.],[-30762.475],[1. 0.]
346,[0],[b'0'],[0.],[-30678.459],[1. 0.]
347,[0],[b'0'],[0.],[-33082.05],[1. 0.]
348,[0],[b'0'],[0.],[-30088.617],[1. 0.]
349,[0],[b'0'],[0.],[-32955.23],[1. 0.]
350,[0],[b'0'],[0.],[-32380.324],[1. 0.]
351,[0],[b'0'],[0.],[-32556.623],[1. 0.]
352,[0],[b'0'],[0.],[-31980.1],[1. 0.]
353,[0],[b'0'],[0.],[-30191.43],[1. 0.]
354,[0],[b'0'],[0.],[-34211.09],[1. 0.]
355,[0],[b'0'],[0.],[-30439.082],[1. 0.]
356,[0],[b'0'],[0.],[-32384.611],[1. 0.]
357,[0],[b'0'],[0.],[-29667.215],[1. 0.]
358,[0],[b'0'],[0.],[-30035.994],[1. 0.]
359,[0],[b'0'],[0.],[-32013.768],[1. 0.]
360,[0],[b'0'],[0.],[-32991.652],[1. 0.]
361,[0],[b'0'],[0.],[-30840.38],[1. 0.]
362,[0],[b'0'],[0.],[-32724.43],[1. 0.]
363,[0],[b'0'],[0.],[-32294.172],[1. 0.]
364,[0],[b'0'],[0.],[-31376.098],[1. 0.]
365,[0],[b'0'],[0.],[-32841.96],[1. 0.]
366,[0],[b'0'],[0.],[-33467.33],[1. 0.]
367,[0],[b'0'],[0.],[-32101.988],[1. 0.]
368,[0],[b'0'],[0.],[-32372.006],[1. 0.]
369,[0],[b'0'],[0.],[-31999.191],[1. 0.]
370,[0],[b'0'],[0.],[-30452.893],[1. 0.]
371,[0],[b'0'],[0.],[-33912.305],[1. 0.]
372,[0],[b'0'],[0.],[-33294.406],[1. 0.]
373,[0],[b'0'],[0.],[-31574.822],[1. 0.]
374,[0],[b'0'],[0.],[-30674.168],[1. 0.]
375,[0],[b'0'],[0.],[-33510.08],[1. 0.]
376,[0],[b'0'],[0.],[-33639.234],[1. 0.]
377,[0],[b'0'],[0.],[-32310.24],[1. 0.]
378,[0],[b'0'],[0.],[-33710.85],[1. 0.]
379,[0],[b'0'],[0.],[-33086.465],[1. 0.]
380,[0],[b'0'],[0.],[-32430.352],[1. 0.]
381,[0],[b'0'],[0.],[-32957.01],[1. 0.]
382,[0],[b'0'],[0.],[-32717.19],[1. 0.]
383,[0],[b'0'],[0.],[-33223.14],[1. 0.]
384,[0],[b'0'],[0.],[-31235.54],[1. 0.]
385,[0],[b'0'],[0.],[-31862.842],[1. 0.]
386,[0],[b'0'],[0.],[-32083.996],[1. 0.]
387,[0],[b'0'],[0.],[-33175.69],[1. 0.]
388,[0],[b'0'],[0.],[-32501.566],[1. 0.]
389,[0],[b'0'],[0.],[-33415.215],[1. 0.]
390,[0],[b'0'],[0.],[-30641.363],[1. 0.]
391,[0],[b'0'],[0.],[-35316.07],[1. 0.]
392,[0],[b'0'],[0.],[-31546.72],[1. 0.]
393,[0],[b'0'],[0.],[-33244.98],[1. 0.]
394,[0],[b'0'],[0.],[-30841.742],[1. 0.]
395,[0],[b'0'],[0.],[-32684.5],[1. 0.]
396,[0],[b'0'],[0.],[-29185.271],[1. 0.]
397,[0],[b'0'],[0.],[-28015.787],[1. 0.]
398,[0],[b'0'],[0.],[-33010.957],[1. 0.]
399,[0],[b'0'],[0.],[-32519.393],[1. 0.]
400,[0],[b'0'],[0.],[-28914.197],[1. 0.]
401,[0],[b'0'],[0.],[-30961.146],[1. 0.]
402,[0],[b'0'],[0.],[-32617.69],[1. 0.]
403,[0],[b'0'],[0.],[-31689.709],[1. 0.]
404,[0],[b'0'],[0.],[-31437.275],[1. 0.]
405,[0],[b'0'],[0.],[-29750.62],[1. 0.]
406,[0],[b'0'],[0.],[-30834.111],[1. 0.]
407,[0],[b'0'],[0.],[-33522.543],[1. 0.]
408,[0],[b'0'],[0.],[-35750.14],[1. 0.]
409,[0],[b'0'],[0.],[-39031.76],[1. 0.]
410,[0],[b'0'],[0.],[-32326.145],[1. 0.]
411,[0],[b'0'],[0.],[-29124.225],[1. 0.]
412,[0],[b'0'],[0.],[-30823.742],[1. 0.]
413,[0],[b'0'],[0.],[-33274.31],[1. 0.]
414,[0],[b'0'],[0.],[-32600.107],[1. 0.]
415,[0],[b'0'],[0.],[-29393.67],[1. 0.]
416,[0],[b'0'],[0.],[-31574.008],[1. 0.]
417,[0],[b'0'],[0.],[-30431.18],[1. 0.]
418,[0],[b'0'],[0.],[-32104.986],[1. 0.]
419,[0],[b'0'],[0.],[-31399.79],[1. 0.]
420,[1],[b'1'],[1.],[7053.6265],[0. 1.]
421,[0],[b'0'],[0.],[-31403.498],[1. 0.]
422,[0],[b'0'],[0.],[-34055.766],[1. 0.]
423,[0],[b'0'],[0.],[-30615.9],[1. 0.]
424,[0],[b'0'],[0.],[-33492.465],[1. 0.]
425,[0],[b'0'],[0.],[-31332.252],[1. 0.]
426,[0],[b'0'],[0.],[-31449.553],[1. 0.]
427,[0],[b'0'],[0.],[-34486.12],[1. 0.]
428,[0],[b'0'],[0.],[-34662.227],[1. 0.]
429,[1],[b'1'],[1.],[7270.6187],[0. 1.]
430,[0],[b'0'],[0.],[-33226.45],[1. 0.]
431,[0],[b'0'],[0.],[-33738.12],[1. 0.]
432,[0],[b'0'],[0.],[-32484.084],[1. 0.]
433,[0],[b'0'],[0.],[-35740.258],[1. 0.]
434,[0],[b'0'],[0.],[-32139.059],[1. 0.]
435,[0],[b'0'],[0.],[-31457.986],[1. 0.]
436,[0],[b'0'],[0.],[-32268.865],[1. 0.]
437,[0],[b'0'],[0.],[-32171.484],[1. 0.]
438,[0],[b'0'],[0.],[-30953.088],[1. 0.]
439,[0],[b'0'],[0.],[-31771.615],[1. 0.]
440,[0],[b'0'],[0.],[-32928.21],[1. 0.]
441,[0],[b'0'],[0.],[-31202.973],[1. 0.]
442,[0],[b'0'],[0.],[-30266.31],[1. 0.]
443,[0],[b'0'],[0.],[-31756.227],[1. 0.]
444,[0],[b'0'],[0.],[-36809.543],[1. 0.]
445,[0],[b'0'],[0.],[-34147.324],[1. 0.]
446,[0],[b'0'],[0.],[-30598.594],[1. 0.]
447,[0],[b'0'],[0.],[-29792.057],[1. 0.]
448,[0],[b'0'],[0.],[-32749.127],[1. 0.]
449,[0],[b'0'],[0.],[-29042.607],[1. 0.]
450,[0],[b'0'],[0.],[-31759.752],[1. 0.]
451,[0],[b'0'],[0.],[-32139.92],[1. 0.]
452,[0],[b'0'],[0.],[-34706.703],[1. 0.]
453,[0],[b'0'],[0.],[-32844.137],[1. 0.]
454,[0],[b'0'],[0.],[-30111.846],[1. 0.]
455,[0],[b'0'],[0.],[-29571.12],[1. 0.]
456,[0],[b'0'],[0.],[-30235.95],[1. 0.]
457,[0],[b'0'],[0.],[-29650.338],[1. 0.]
458,[0],[b'0'],[0.],[-31424.104],[1. 0.]
459,[0],[b'0'],[0.],[-30451.477],[1. 0.]
460,[0],[b'0'],[0.],[-30197.154],[1. 0.]
461,[0],[b'0'],[0.],[-33358.7],[1. 0.]
462,[0],[b'0'],[0.],[-33873.754],[1. 0.]
463,[0],[b'0'],[0.],[-33275.473],[1. 0.]
464,[0],[b'0'],[0.],[-34046.145],[1. 0.]
